No.	DateMeas	TimeMeas	PV	RMS	Tilt	Power	Hardware	Intensity accumul.	Phase accumul.	Sample	Sample	User	Defocus	MaskWidth	MaskHeight	C1 (c1,1)	C2 (s1,1)	C3 (2,2)	C4 (c2,2)	C5 (s2,2)	C6 (c3,1)	C7 (s3,1)	C8 (4,0)	C9 (c3,3)	C10 (s3,3)	C11 (c4,2)	C12 (s4,2)	C13 (c5,1)	C14 (s5,1)	C15 (6,0)
			[nm]	[nm]	[nm]	[nm]	setup			ID	name	initials	[mm]	[pixel]	[pixel]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]
25	12/09/21	16:30:57	319.5	46.3	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
26	12/09/21	16:31:03	329.1	46.1	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
27	12/09/21	16:31:09	325.4	35.4	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
28	12/09/21	16:31:17	207.6	19.5	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
29	12/09/21	16:34:04	122.7	11.1	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
30	12/09/21	16:34:13	304.0	30.2	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
31	12/09/21	16:34:20	312.1	43.2	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
32	12/09/21	16:34:26	331.5	48.0	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
33	12/09/21	16:34:34	325.4	46.1	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
34	12/09/21	16:34:40	331.8	47.6	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
35	12/09/21	16:34:47	329.7	46.9	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
36	12/09/21	16:34:53	326.0	46.4	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
37	12/09/21	16:35:00	349.5	48.0	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
38	12/09/21	16:35:06	293.2	29.6	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
39	12/09/21	16:35:12	117.7	12.1	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
40	12/09/21	16:38:34	167.8	16.3	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
41	12/09/21	16:38:44	351.3	42.4	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
42	12/09/21	16:39:03	347.0	50.1	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
43	12/09/21	16:39:09	336.5	49.0	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
44	12/09/21	16:39:15	337.7	49.2	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
45	12/09/21	16:39:19	505.8	92.5	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
46	12/09/21	16:40:46	349.2	51.0	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
